client_id,round_number,hierarchy,num_samples,set,accuracy,loss
FluffyFanoona,0,,19,test,0.5,0.6931642293930054
FourMee,0,,11,test,0.0,0.6933878660202026
Fourgasm,0,,10,test,0.0,0.6934496164321899
Fraggle312,0,,20,test,0.0,0.693295955657959
Fredgarrett,0,,11,test,0.5,0.6930915117263794
Fredrikkk,0,,53,test,0.3333333333333333,0.693259060382843
FreshPlastic,0,,32,test,0.5,0.6930614709854126
FrumiousMe,0,,18,test,0.5,0.6930383443832397
Fuckasaurus,0,,13,test,1.0,0.6929678916931152
GHmltn,0,,69,test,0.5714285714285714,0.6930817365646362
Gaby196,0,,15,test,0.5,0.6930092573165894
Gansiito,0,,39,test,0.75,0.6929266452789307
Garvaos,0,,12,test,0.5,0.6931978464126587
GdohV,0,,14,test,0.0,0.6934157609939575
GeekyFuschia,0,,23,test,0.3333333333333333,0.6932188868522644
GentleSinner,0,,12,test,1.0,0.6928693652153015
GeoAtreides,0,,12,test,1.0,0.6930127143859863
GeorgiaPrincez,0,,27,test,1.0,0.6929479241371155
Georgia_Ellis_x,0,,12,test,0.5,0.6931097507476807
GeorgioBaker,0,,11,test,0.5,0.693069338798523
GillyWillyWo0,0,,12,test,0.0,0.6933148503303528
Ginger_Swan,0,,19,test,0.5,0.6930633783340454
GloomyRain1497,0,,14,test,0.0,0.693415641784668
Goldyfinch,0,,12,test,0.5,0.6932535171508789
GoodGreenTeaNew,0,,21,test,0.6666666666666666,0.6931240558624268
GothicblueCJ,0,,10,test,0.0,0.6933965682983398
GraceMaryLove,0,,13,test,1.0,0.693024754524231
GreenFalcon805,0,,14,test,0.5,0.6931495070457458
Greeneyezz,0,,11,test,1.0,0.6928704977035522
Grrrahamax,0,,11,test,0.0,0.6934586763381958
GuitarKat,0,,26,test,0.6666666666666666,0.693075954914093
GushyBella,0,,11,test,0.0,0.6934565901756287
HalfassBackward,0,,30,test,0.6666666666666666,0.6930144429206848
Hamperlady,0,,11,test,0.5,0.6931908130645752
Haniie,0,,13,test,1.0,0.6928067207336426
HarajukuBeauty,0,,18,test,0.5,0.693256139755249
HarryLyme,0,,41,test,0.4,0.6931203603744507
Has_Bookpushers,0,,31,test,0.5,0.6932244300842285
Heartagram,0,,25,test,0.3333333333333333,0.6932192444801331
HeatSki,0,,12,test,1.0,0.6930561065673828
HeatherMaine,0,,13,test,0.5,0.6930545568466187
Helenvking,0,,18,test,0.0,0.6933165788650513
Hipchick999,0,,16,test,1.0,0.6929073333740234
Hitomers,0,,13,test,0.5,0.6932357549667358
Hollix,0,,10,test,0.0,0.6931527256965637
Hollowbabes,0,,23,test,0.3333333333333333,0.6932036876678467
HollyEXX,0,,12,test,1.0,0.6929320693016052
Hollywoodbaby93,0,,11,test,1.0,0.6929938197135925
HorstBurkhardt,0,,10,test,1.0,0.6928412318229675
Hutchlou,0,,18,test,0.0,0.6932332515716553
IIIDen,0,,12,test,1.0,0.6928414106369019
IIanS,0,,30,test,1.0,0.6929061412811279
IPinthecorner,0,,10,test,0.0,0.6932839751243591
IamMaxatHotSpot,0,,40,test,0.75,0.6930328607559204
IamSB,0,,14,test,0.0,0.693373441696167
IdaApps,0,,11,test,0.0,0.6932612657546997
Idristwilight,0,,12,test,1.0,0.6929487586021423
Ilkee,0,,40,test,0.75,0.6930586695671082
Incwell,0,,20,test,1.0,0.6929726004600525
IndiaLovesYou,0,,36,test,0.25,0.6933209896087646
InesGuellif,0,,12,test,1.0,0.6928419470787048
Ingenue_Em,0,,44,test,0.2,0.6932814717292786
Insanechicka33,0,,10,test,1.0,0.6928073763847351
Ipswich772,0,,11,test,1.0,0.69279944896698
Irisheyz77,0,,15,test,0.5,0.6932909488677979
Irrel,0,,12,test,0.5,0.6931246519088745
Isil_Loves_Mcr,0,,65,test,0.8571428571428571,0.692987322807312
ItsBlaze,0,,15,test,0.0,0.6933319568634033
ItsDawns,0,,26,test,0.6666666666666666,0.6931276321411133
Iyona_D,0,,16,test,0.0,0.69331955909729
JIGGYMUZIK,0,,21,test,0.6666666666666666,0.6929993629455566
JJLuver756,0,,31,test,0.5,0.6930634379386902
JONASlOVExO,0,,28,test,1.0,0.6929385662078857
JRLife,0,,16,test,1.0,0.692943811416626
JRiley21,0,,14,test,1.0,0.6929423809051514
JaMeSLeE4,0,,12,test,0.5,0.6930339336395264
Jabinya,0,,10,test,1.0,0.6928353905677795
JackInChicago,0,,12,test,0.5,0.6930117607116699
JacobGoesGreen,0,,10,test,1.0,0.6928432583808899
JaffasGirl,0,,10,test,0.0,0.6933675408363342
JaimeMcKnight,0,,14,test,0.5,0.6930680274963379
Jaimie074,0,,18,test,0.5,0.6932418346405029
Jamie_Eason,0,,12,test,0.5,0.6929873824119568
JamieeThomas,0,,17,test,0.5,0.6932748556137085
Jamiescott19,0,,13,test,1.0,0.6929610967636108
Jana1976,0,,26,test,1.0,0.6928419470787048
JanaKris,0,,14,test,1.0,0.6929630041122437
Jana_sk8,0,,21,test,0.6666666666666666,0.6929790377616882
Jasminexoxo,0,,10,test,0.0,0.6934588551521301
Javamomma,0,,50,test,0.4,0.6931606531143188
Jawslyn,0,,11,test,1.0,0.6930091381072998
JayJayLee959,0,,10,test,1.0,0.6929819583892822
Jaynecollinsmac,0,,32,test,0.25,0.6932424306869507
JeJa6,0,,38,test,0.25,0.6932374238967896
JeanneXay,0,,18,test,0.0,0.6933504343032837
Jeewhizz,0,,12,test,0.5,0.6932329535484314
JeffTheMidget,0,,16,test,0.5,0.6932768821716309
JenLefler,0,,13,test,0.5,0.6932449340820312
JennShallvey,0,,16,test,0.5,0.6932084560394287
Jenn_ex,0,,14,test,0.5,0.693026065826416
JenniferMcFly,0,,14,test,1.0,0.6928972005844116
Jenniferjade_,0,,16,test,0.0,0.693450391292572
JennyRay28,0,,13,test,0.5,0.6930427551269531
Jeraly,0,,13,test,1.0,0.6930042505264282
JerryCornelius,0,,10,test,1.0,0.6928991675376892
JessaBoBessa,0,,12,test,0.5,0.6931164860725403
Jessica1567,0,,37,test,0.5,0.6930960416793823
Jessieface823,0,,10,test,0.0,0.6934694051742554
Jessssssiica,0,,10,test,0.0,0.6932948231697083
Jessy_CobraGurl,0,,14,test,0.5,0.6931453943252563
JewelsLB,0,,14,test,0.5,0.6931878328323364
Jezzy14,0,,13,test,1.0,0.6928237676620483
Jinjirrie,0,,15,test,1.0,0.692943811416626
JoHarris0n,0,,12,test,0.5,0.6931594610214233
JoKnowles,0,,11,test,1.0,0.6929678916931152
JoannaAngel,0,,14,test,1.0,0.6928495764732361
JodiBredekamp,0,,17,test,0.5,0.6929903626441956
JoeJonasFanatic,0,,10,test,0.0,0.6933198571205139
JoeKevinNickJ,0,,27,test,1.0,0.6929653286933899
Joelsk_,0,,36,test,0.25,0.6932074427604675
JohnPrather,0,,11,test,1.0,0.6930075883865356
JohnnyCullen,0,,20,test,0.5,0.6932609677314758
Johnpaul_88,0,,19,test,1.0,0.6930789947509766
